sample_id,Brand_Name,Product_Description,Pack_Size,Pack_Quantity,Unit_Type,Total_Quantity,Unit_Price_Per_Unit_Calculated,Unit_Price_Per_Pack_Calculated,Num_Bullet_Points,price,is_premium,is_health_eco,is_electronic,is_apparel,is_consumable,is_latest_model,is_home_kitchen,is_baby_pet,is_sports_auto
33127,La,Victoria Green Taco Sauce Mild,6,12.0,Fl Oz,72.0,0.06791666666666668,0.8150000000000001,0,4.890000000000001,0,0,0,0,1,0,0,0,0
198967,Salerno,"Cookies, The Original Butter Cookies",4,8.0,Ounce,32.0,0.41,3.28,5,13.12,0,0,0,0,0,0,0,0,0
261251,Bear,"Creek Hearty Soup Bowl, Creamy Chicken with Rice, 1.9 Ounce (Pack of 6)",6,1.9000000000000001,Ounce,11.4,0.17280701754385963,0.3283333333333333,5,1.97,0,0,0,0,1,0,0,0,0
55858,Judee’s,"’s Blue Cheese Powder 11.25 oz - Gluten-Free and Nut-Free - Use in Seasonings and Salad Dressings - Great for Dips, Spreads and Sauces - Made in USA",1,11.25,Ounce,11.25,2.6968888888888887,30.34,5,30.34,0,1,0,0,1,0,0,0,0
292686,kedem,"Sherry Cooking Wine, 12.7 Ounce - 12 per case.",1,12.0,Count,12.0,5.540833333333333,66.49,0,66.49,0,0,0,0,0,0,0,0,0
9259,Member's,"'s Mark Member's Mark, Basil, 6.25 oz",1,6.25,ounce,6.25,2.96,18.5,3,18.5,0,0,0,1,0,0,1,1,0
191846,Goya,Foods Sazonador Total Seasoning,6,30.0,Ounce,180.0,0.03327777777777778,0.9983333333333334,5,5.99,1,1,0,0,1,0,0,0,0
222007,VineCo,Original Series Chilean Sauvignon Blanc Wine Making Ingredient Kit,1,1.0,Count,1.0,94.0,94.0,5,94.0,0,0,0,0,0,1,1,1,0
37614,NATURES,"PATH CEREAL FLK MULTIGRAIN ORG ECO, 32 OZ, PK- 6",1,192.0,Fl Oz,192.0,0.18614583333333334,35.74,0,35.74,0,1,0,0,0,0,0,0,0
238044,Mrs.,. Miller's Seedless Black Raspberry Jam 9 Ounce (Pack of 4),4,2.25,Ounce,9.0,3.533333333333333,7.95,5,31.8,1,0,0,0,1,0,0,0,0
254947,Braswell's,'s Key Lime Marinade for Sole 12oz,1,12.0,Ounce,12.0,1.3325,15.99,0,15.99,0,0,0,0,0,0,0,0,0
283223,Albanese,"Assorted Gummi Bears, Sugar Free, 5-Pound Bags (Pack of 2)",2,80.0,Ounce,160.0,0.209375,16.75,0,33.5,0,0,0,0,1,0,0,0,0
21740,KiZE,"Bars, 4 Count, Cookie Dough Flavor, High Protein, Dairy Free, Gluten Free, Non-GMO, Soy Free Snack Food Bars",1,4.0,Count,4.0,1.745,6.98,9,6.98,0,1,0,0,1,0,0,0,0
170292,Smuckers,"Natural Peanut Butter Chunky, 16 OZ (Pack of 12)",12,16.0,Fl Oz,192.0,0.02216145833333333,0.3545833333333333,0,4.255,0,1,0,0,0,0,0,0,0
71500,BODYARMOR,"LYTE Sports Drink Low-Calorie Sports Beverage, Strawberry Banana, Coconut Water Hydration, Potassium-Packed Electrolytes, Perfect For Athletes",12,28.0,Fl Oz,336.0,0.004970238095238095,0.13916666666666666,5,1.67,0,0,0,0,1,0,0,0,1
266475,Organic,Vinegar; Apple Cider,1,102.0,Fl Oz,102.0,0.7984313725490196,81.44,0,81.44,0,0,0,0,0,0,0,0,0
88520,Himalania,Pink Salt Fine Jar 10.0 OZ(Pack of 6),6,1.6666666666666667,Ounce,10.0,5.672,9.453333333333333,0,56.72,0,0,0,0,1,0,0,0,0
125583,BUSH'S,"'S BEST 16 oz Canned Barbecue Baked Beans, Source of Plant Based Protein and Fiber, Low Fat, Gluten Free, (Pack of 12)",12,16.0,Ounce,192.0,0.028489583333333332,0.4558333333333333,0,5.47,0,1,0,0,1,0,0,0,0
271423,BulkSupplements.com,".com Trehalose Powder - Natural Sweetener, Trehalose Sugar Substitute - Vegan & Gluten Free, 5g per Serving, 5kg (11 lbs) (Pack of 5)",5,35.274,Ounce,176.37,0.6235187390145717,21.994,5,109.97,1,1,0,0,1,0,1,0,0
260842,Sayan,"Siberian All Day Set Instant Chaga Mushroom Tea, Pack of 3 Daily Tablets (90 Pcs) - Wild-Harvested, Premium Blend – Natural Antioxidant Tea for Immune Support, Energy Boost & Improved Digestion",1,90.0,Count,90.0,0.5665555555555556,50.99,5,50.99,1,1,1,0,1,1,0,0,0
267410,Food,"to Live Black-Eyed Peas, 25 Pounds - Raw Dried Whole Cow Peas, Kosher, Vegan, Sproutable. High in Dietary Fiber, Easy to Cook. Product of the USA",1,400.0,Ounce,400.0,0.247475,98.99,5,98.99,0,1,0,0,1,0,1,0,0
201749,ALOHA,"Organic Plant Based Protein Bar MINIS |Caramel Chocolate Pecan | 20 Count, 24g Bars | Vegan, Low Sugar, Gluten Free, Low Carb, Non-GMO, Stevia Free, Soy Free, No Sugar Alcohols",1,20.0,Count,20.0,1.6045000000000003,32.09,6,32.09,0,1,0,0,1,0,0,0,0
194856,PLANTERS,"Unsalted Dry Roasted Peanuts, Resealable Jar, Kosher Nuts, Plant-Based Protein, Quick Snack for Adults, After School Snack, 35 oz Canister",1,1.0,Count,1.0,12.32,12.32,5,12.32,0,1,0,1,1,0,0,0,0
