ProductID,ProductName,Brand,Category,Weight,Dimensions,Material,Color,Rating,NumReviews,Price
1,Laptop,XYZ Corp,Laptops,2.5,13x9x0.7,Aluminum,Silver,4.5,120,1200
2,Smartphone,ABC Inc,Mobile Phones,0.2,5.7x2.8x0.3,Glass,Black,4.8,300,800
3,Headphones,SoundWave,Electronics,0.4,8x7x2,Plastic,White,4.3,80,100
4,Smartwatch,TechGuru,Wearable Tech,0.1,1.5x1.5x0.4,Plastic,Black,4.6,150,250
5,Bluetooth Speaker,AudioKing,Audio Devices,1.0,7x7x3,Metal,Red,4.2,50,80
6,Gaming Console,GameTech,Video Games,3.0,15x10x2,Plastic,Black,4.7,200,400
7,Tablet,TabCo,Tablets,0.5,9x6x0.3,Plastic,Blue,4.4,100,300
8,Camera,CamCo,Photography,0.8,4x3x2,Metal,Black,4.9,150,600
9,Drone,SkyHigh,Photography,1.5,12x12x4,Plastic,White,4.6,80,700
10,Fitness Tracker,FitLife,Fitness & Health,0.1,2x2x0.5,Plastic,Green,4.5,60,150
11,Wireless Mouse,TechMice,Computer Accessories,0.1,3x2x1,Plastic,Black,4.3,50,20
12,External Hard Drive,DataVault,Computer Accessories,0.3,5x3x0.5,Metal,Silver,4.6,100,80
13,Desk Lamp,LightWorks,Home & Office,0.5,10x5x5,Metal,White,4.2,30,40
14,Electric Kettle,HotStream,Kitchen Appliances,1.0,8x6x8,Stainless Steel,Black,4.5,70,30
15,Portable Charger,PowerUp,Mobile Accessories,0.2,4x2x1,Plastic,Blue,4.1,40,15
16,Wireless Earbuds,SonicBlast,Audio Devices,0.05,2x2x1,Plastic,White,4.7,200,100
17,Power Bank,ChargePro,Mobile Accessories,0.15,3x2x0.5,Plastic,Black,4.4,150,25
18,Car Phone Holder,AutoGrip,Car Accessories,0.1,5x3x2,Plastic,Black,4.0,20,10
19,Portable Bluetooth Speaker,SoundWave,Audio Devices,0.3,6x4x3,Plastic,Red,4.3,80,50
20,Wireless Charging Pad,ChargeX,Mobile Accessories,0.2,4x4x0.5,Plastic,White,4.5,120,30
21,Smart Thermostat,SmartHome,Home Appliances,0.2,3x3x1,Plastic,White,4.8,100,150
22,Robot Vacuum,CleanBot,Home Appliances,2.5,12x12x3,Plastic,Black,4.6,200,300
23,Electric Toothbrush,OralTech,Personal Care,0.3,8x1x1,Plastic,Blue,4.7,80,50
24,Wireless Keyboard,KeyTech,Computer Accessories,0.5,12x6x1,Plastic,Black,4.4,90,40
25,Smart Doorbell,SecureTech,Home Security,0.3,5x2x1,Plastic,Silver,4.5,120,120
26,Portable Blender,BlendMaster,Kitchen Appliances,0.8,6x4x4,Plastic,Green,4.2,60,40
27,Wireless Security Camera,SecureCam,Home Security,0.4,4x3x3,Plastic,White,4.3,100,80
28,Folding Electric Scooter,EcoRide,Outdoor & Sports,10.0,40x20x10,Aluminum,Black,4.6,150,400
29,Smart Scale,FitLife,Fitness & Health,1.0,12x12x1,Glass,Black,4.8,200,70
30,Electric Shaver,SmoothTech,Personal Care,0.2,5x2x2,Plastic,Black,4.5,100,60
31,Coffee Maker,CaféTech,Kitchen Appliances,1.5,10x8x12,Stainless Steel,Black,4.4,180,80
32,Gaming Mouse,GamerGear,Computer Accessories,0.15,3x2x1,Plastic,RGB,4.7,250,50
33,Smart Light Bulb,SmartGlow,Home & Office,0.1,2x2x4,Plastic,White,4.3,120,20
34,Bluetooth Car Kit,CarConnect,Car Accessories,0.1,4x3x1,Plastic,Black,4.1,60,30
35,Wireless Presenter,PresentationPro,Office Supplies,0.05,4x1x1,Plastic,Black,4.5,40,20
